slug,type,domain,occurrence_or_deadline_ddmmyyyy,status,error
elsa-fdv-above-300m-one-day-after-launch,2,finance,31/12/2026,ok,
will-trove-launch-a-token-by-june-30-2026,2,finance,30/06/2026,ok,
elsa-fdv-above-200m-one-day-after-launch,2,finance,31/12/2026,ok,
over-500k-committed-to-the-bitway-public-sale,2,finance,31/12/2026,ok,
ranger-fdv-above-60m-one-day-after-launch,2,finance,31/12/2026,ok,
ranger-fdv-above-40m-one-day-after-launch,2,finance,31/12/2026,ok,
zama-fdv-above-3b-one-day-after-launch-549-398-832-352,2,finance,31/12/2026,ok,
infinex-fdv-above-5b-one-day-after-launch-484-325-957-589-382-664,2,finance,31/12/2026,ok,
will-bitcoin-dip-to-85000-by-december-31-2026-281,2,finance,31/12/2026,ok,
over-1m-committed-to-the-sol-raffle-public-sale,2,finance,31/12/2026,ok,
over-80m-committed-to-the-infinex-public-sale-246-898-654,2,finance,31/12/2026,ok,
over-5m-committed-to-the-infinex-public-sale-117-376,2,finance,31/12/2026,ok,
over-15m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
ranger-fdv-above-50m-one-day-after-launch,2,finance,31/12/2026,ok,
will-theo-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
zama-fdv-above-800m-one-day-after-launch-122-384-527-991,2,finance,31/12/2026,ok,
will-paradex-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
infinex-fdv-above-1b-one-day-after-launch-265-983-979-783-542-259,2,finance,31/12/2026,ok,
will-xrp-reach-2pt40-by-december-31-2026,2,finance,31/12/2026,ok,
will-the-ethereum-volatility-index-hit-80-in-2026,2,finance,31/12/2026,ok,
will-chainlink-dip-to-10-by-december-31-2026,2,finance,31/12/2026,ok,
brevis-fdv-above-800m-one-day-after-launch,2,finance,31/12/2026,ok,
over-5m-committed-to-the-fabric-public-sale,2,finance,31/12/2026,ok,
will-tria-launch-a-token-by-june-30-2026,2,finance,30/06/2026,ok,
over-7m-committed-to-the-fabric-public-sale,2,finance,31/12/2026,ok,
will-dogecoin-dip-to-0pt14-by-december-31-2026,2,finance,31/12/2026,ok,
sentient-fdv-above-400m-one-day-after-launch,2,finance,31/12/2026,ok,
over-25m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
over-14m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
lighter-fdv-above-6b-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt16,2,finance,31/12/2026,ok,
will-hyperliquid-dip-to-32-by-december-31-2026,2,finance,31/12/2026,ok,
over-26m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
zama-fdv-above-2b-one-day-after-launch-318-543-359-149,2,finance,31/12/2026,ok,
kodiak-fdv-above-100m-one-day-after-launch,2,finance,31/12/2026,ok,
owlto-fdv-above-900m-one-day-after-launch,2,finance,31/12/2026,ok,
over-16m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
moonbirds-fdv-above-300m-one-day-after-launch,2,finance,31/12/2026,ok,
trove-fdv-above-10m-one-day-after-launch-824-117,2,finance,31/12/2026,ok,
trove-fdv-above-2m-one-day-after-launch,2,finance,31/12/2026,ok,
will-almanak-fdv-above-50m-one-day-after-launch,2,finance,31/12/2026,ok,
over-4m-committed-to-the-sol-raffle-public-sale,2,finance,31/12/2026,ok,
lighter-airdrop-before-january-1,,,,error,invalid_response
will-plasma-dip-to-0pt20-by-december-31-2026-382-685-558-171-163,2,finance,31/12/2026,ok,
brevis-fdv-above-100m-one-day-after-launch,2,finance,31/12/2026,ok,
brevis-fdv-above-200m-one-day-after-launch,2,finance,31/12/2026,ok,
will-tempo-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
sentient-fdv-above-2b-one-day-after-launch-857,2,finance,31/12/2026,ok,
seeker-fdv-above-800m-one-day-after-launch-755-429,2,finance,31/12/2026,ok,
humidifi-fdv-above-300m-one-day-after-launch-446,2,finance,31/12/2026,ok,
trove-fdv-above-20m-one-day-after-launch-722-667-974,2,finance,31/12/2026,ok,
over-15m-committed-to-the-fabric-public-sale,2,finance,31/12/2026,ok,
will-tria-launch-a-token-by-september-30-2026,2,finance,30/09/2026,ok,
will-pacifica-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
will-pumpfun-dip-to-0pt0018-by-december-31-2026,2,finance,31/12/2026,ok,
over-10m-committed-to-the-trove-public-sale,2,finance,31/12/2026,ok,
harmonix-fdv-above-8m-one-day-after-launch,2,finance,31/12/2026,ok,
humidifi-fdv-above-100m-one-day-after-launch-147,2,finance,31/12/2026,ok,
will-fogo-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
lighter-airdrop-on-january-8-977,1,finance,08/01/2024,ok,
lighter-airdrop-on-january-3-439,1,finance,03/01/2024,ok,
zama-auction-clearing-price-above-0pt10,2,finance,31/12/2026,ok,
will-solana-dip-to-120-by-december-31-2026,2,finance,31/12/2026,ok,
will-fomo-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
will-fogo-launch-a-token-by-september-30-2026,2,finance,30/09/2026,ok,
will-almanak-fdv-above-120m-one-day-after-launch-619,2,finance,31/12/2026,ok,
will-infrared-launch-a-token-by-september-30-2026,2,finance,30/09/2026,ok,
stable-fdv-above-6b-one-day-after-launch,2,finance,31/12/2026,ok,
harmonix-fdv-above-200m-one-day-after-launch-379-179,2,finance,31/12/2026,ok,
fogo-fdv-above-500m-one-day-after-launch,2,finance,31/12/2026,ok,
will-solana-reach-140-by-december-31-2026,2,finance,31/12/2026,ok,
owlto-fdv-above-300m-one-day-after-launch,2,finance,31/12/2026,ok,
kinetiq-fdv-above-1b-one-day-after-launch-953-549-847-556-578,2,finance,31/12/2026,ok,
will-zcash-dip-to-500-by-december-31-2026,2,finance,31/12/2026,ok,
vooi-fdv-above-1pt5b-one-day-after-launch-699-678-692-974,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt12,2,finance,31/12/2026,ok,
hyperswap-fdv-above-1b-one-day-after-launch-171-318,2,finance,31/12/2026,ok,
seeker-fdv-above-50m-one-day-after-launch-qbnz,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt08,2,finance,31/12/2026,ok,
stable-fdv-above-2b-one-day-after-launch,2,finance,31/12/2026,ok,
zama-auction-clearing-price-above-0pt14,2,finance,31/12/2026,ok,
will-the-ethereum-volatility-index-hit-90-in-2026,2,finance,31/12/2026,ok,
will-daylight-launch-a-token-by-december-31-2025-397,2,finance,31/12/2025,ok,
vooi-fdv-above-1b-one-day-after-launch-467-286-891-187,2,finance,31/12/2026,ok,
will-extended-launch-a-token-by-december-31-2025,2,finance,31/12/2025,ok,
will-almanak-fdv-above-80m-one-day-after-launch-445,2,finance,31/12/2026,ok,
will-uni-dip-to-6pt00-by-december-31-2026,2,finance,31/12/2026,ok,
canton-fdv-above-10b-one-day-after-launch-719-693,2,finance,31/12/2026,ok,
will-almanak-fdv-above-250m-one-day-after-launch,2,finance,31/12/2026,ok,
kinetiq-fdv-above-250m-one-day-after-launch-616-561-865-644,2,finance,31/12/2026,ok,
will-ethgas-launch-a-token-by-december-31-2026,2,finance,31/12/2026,ok,
will-uni-dip-to-4pt50-by-december-31-2026,2,finance,31/12/2026,ok,
will-infrared-launch-a-token-by-march-31-2026,2,finance,31/03/2026,ok,
kinetiq-fdv-above-500m-one-day-after-launch-878-712-388-635-434,2,finance,31/12/2026,ok,
yieldbasis-fdv-above-500m-one-day-after-launch,2,finance,31/12/2026,ok,
over-30m-committed-to-the-space-public-sale,2,misc,31/12/2026,ok,
will-almanak-fdv-above-160m-one-day-after-launch-312,2,finance,31/12/2026,ok,
will-ethgas-launch-a-token-by-march-31-2026,2,finance,31/03/2026,ok,
