market_id,slug,title,description
1220875,elsa-fdv-above-300m-one-day-after-launch,Elsa FDV above $300M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Elsa's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Elsa (https://x.com/HeyElsaAI) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
967152,will-trove-launch-a-token-by-june-30-2026,Will Trove launch a token by June 30  2026?,This market will resolve to “Yes” if Trove (https://trovemarkets.com/) officially launches a governance token by 11:59 PM ET on the date specified in the title. Otherwise  this market will resolve to “No”.  The token must be actively and publicly transferable and tradable. Announcements alone do not qualify.  The primary resolution source for this market will be information from Trove  however a consensus of credible reporting will also be used.
1220874,elsa-fdv-above-200m-one-day-after-launch,Elsa FDV above $200M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Elsa's governance token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Elsa (https://x.com/HeyElsaAI) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
1223535,over-500k-committed-to-the-bitway-public-sale,Over $500K committed to the Bitway public sale?,This market will resolve to “Yes” if total commitments for the Bitway raise on Kaito exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://kaito.ai/capital-launchpad/99cde47ae13b4374a523?projectName=Bitway  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
690682,ranger-fdv-above-60m-one-day-after-launch,Ranger FDV above $60M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Ranger's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Ranger (https://x.com/ranger_finance/) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
690680,ranger-fdv-above-40m-one-day-after-launch,Ranger FDV above $40M one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Ranger's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Ranger (https://x.com/ranger_finance/) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
690697,zama-fdv-above-3b-one-day-after-launch-549-398-832-352,Zama FDV above $3B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Zama's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  The FDV will be determined using the total token supply multiplied by the token price.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Zama doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
686170,infinex-fdv-above-5b-one-day-after-launch-484-325-957-589-382-664,Infinex FDV above $5B one day after launch?,This market will resolve to "Yes" if the Fully Diluted Valuation of Infinex's token is greater than the value specified in the title 1 day after launch. Otherwise  the market will resolve to "No."  The token must be actively  publicly transferable and tradable to be considered a launch.  "1 day after launch" is defined as 4:00 PM ET on the calendar day following launch. The resolution source for this market is the most liquid price source available. If Infinex (https://infinex.xyz/) doesn't launch a token by December 31  2026  11:59 PM ET  this market will resolve to "No".
701498,will-bitcoin-dip-to-85000-by-december-31-2026-281,Will Bitcoin dip to $85 000 by December 31  2026?,This market will immediately resolve to "Yes" if any Binance 1 minute candle for Bitcoin (BTC/USDT) between November 24  2025  14:00 and December 31  2026  23:59 in the ET timezone has a final "Low" price equal to or lower than the price specified in the title. Otherwise  this market will resolve to "No."  The resolution source for this market is Binance  specifically the BTC/USDT "Low" prices available at https://www.binance.com/en/trade/BTC_USDT  with the chart settings on "1m" for one-minute candles selected on the top bar.  Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges  different trading pairs  or spot markets will not be considered for the resolution of this market. 
1223565,over-1m-committed-to-the-sol-raffle-public-sale,Over $1M committed to the Sol Raffle public sale?,This market will resolve to “Yes” if total commitments for the Sol Raffle raise on SagaPad exceeds the number specified in the title before the raise closes. Otherwise  it will resolve to “No.”  The resolution source is the official raise page available at https://sagapad.com/project/sol-raffle  If the final commitment amount cannot be verified by December 31  2026  11:59 PM ET  or if relevant information becomes permanently unavailable within the market timeframe  this market will resolve to “No.”
